Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
390,Bruno Šundov\sundobr01,C,21,IND,22,0,88,6.5,16.4,0.4,0,0.4,0,6.5,16,0.41,0,0.8,0,2.9,5.7,8.6,1.2,1.2,1.2,1.6,6.5,13.1,2.18
391,Bob Sura\surabo01,PG,28,GSW,78,5,1780,5.1,11.9,0.424,0.8,2.7,0.316,4.2,9.2,0.455,4.8,6.6,0.72,1.8,3.4,5.2,5.6,1.8,0.3,2.7,3.2,15.7,1.96
392,Stromile Swift\swiftst01,PF,22,MEM,68,14,1805,5.8,12.2,0.48,0,0.1,0,5.8,12.1,0.482,4.3,6.1,0.711,3.2,5.4,8.6,1,1.1,2.3,2.4,3.6,16,2.06
393,Wally Szczerbiak\szczewa02,SF,24,MIN,82,82,3117,7,13.9,0.508,1,2.2,0.455,6,11.7,0.517,2.6,3.1,0.831,1.4,3.1,4.5,3,0.8,0.2,2.1,2.2,17.7,2.01
394,Jason Terry\terryja01,SG,24,ATL,78,78,2967,6.4,14.8,0.43,2.1,5.4,0.387,4.3,9.4,0.454,3.4,4.1,0.835,0.5,2.8,3.3,5.4,1.7,0.2,2.2,1.9,18.2,1.88
395,Etan Thomas\thomaet01,C,23,WAS,47,0,618,4.7,8.8,0.536,0,0,,4.7,8.8,0.536,2.4,4.3,0.554,3.2,7.3,10.5,0.3,1,2,1.5,4.4,11.8,2.06
396,Kenny Thomas\thomake01,PF,24,HOU,72,71,2484,5.7,12,0.478,0,0.2,0,5.7,11.8,0.487,3.2,4.9,0.664,2.3,5.2,7.5,2,1.2,1,2.1,2.8,14.7,2.01
397,Kurt Thomas\thomaku01,C,29,NYK,82,82,2771,6,12.2,0.494,0,0.1,0.167,6,12.1,0.496,2.8,3.4,0.815,2.8,6.9,9.7,1.1,0.9,1,2,4.4,14.8,2.06
398,Tim Thomas\thomati01,SF,24,MIL,74,22,1987,5.7,13.6,0.42,1.7,5.3,0.326,4,8.4,0.478,2.6,3.2,0.793,1.2,4.3,5.4,1.9,1.2,0.6,2.3,3.6,15.7,2.08
399,Jamaal Tinsley\tinslja01,PG,23,IND,80,78,2442,4.3,11.2,0.38,0.6,2.6,0.24,3.6,8.6,0.422,1.9,2.7,0.704,1.1,3.2,4.4,9.5,2,0.6,4,3.7,11.1,1.9
400,Óscar Torres\torreos01,SG,25,HOU,65,13,1075,4.5,11.4,0.396,1.2,4.2,0.294,3.3,7.2,0.456,2.7,3.5,0.781,1.6,2.5,4.1,1.3,0.8,0.3,1.6,2.1,13,1.98
